order_id,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area
ORD1,Express,2,2,0,1594,1
ORD2,Standard,5,5,0,751,0
ORD3,Standard,5,6,1,2213,1
ORD4,Express,2,2,0,1160,0
ORD5,Standard,5,5,0,784,0
ORD6,Standard,5,6,1,2454,1
ORD7,Express,2,2,0,715,0
ORD8,Express,2,2,0,1622,1
ORD9,Standard,5,5,0,2101,1
ORD10,Standard,5,5,0,1840,1
ORD11,Express,2,2,0,1386,0
ORD12,Express,2,2,0,984,0
ORD13,Standard,5,6,1,2449,1
ORD14,Express,2,3,1,1059,0
ORD15,Standard,5,5,0,1606,1
ORD16,Express,2,3,1,1347,0
ORD17,Express,2,2,0,468,0
ORD18,Express,2,2,0,2331,1
ORD19,Standard,5,5,0,417,0
ORD20,Express,2,2,0,1627,1
ORD21,Standard,5,5,0,2392,1
ORD22,Express,2,2,0,1149,0
ORD23,Express,2,2,0,1180,0
ORD24,Express,2,3,1,1080,0
ORD25,Standard,5,5,0,1925,1
ORD26,Express,2,2,0,1410,0
ORD27,Express,2,3,1,1421,0
ORD28,Standard,5,5,0,1280,0
ORD29,Standard,5,6,1,1681,1
ORD30,Express,2,4,2,2408,1
ORD31,Express,2,2,0,1659,1
ORD32,Standard,5,6,1,2303,1
ORD33,Express,2,2,0,333,0
ORD34,Express,2,2,0,620,0
ORD35,Standard,5,6,1,1783,1
ORD36,Express,2,2,0,2434,1
ORD37,Standard,5,5,0,1522,1
ORD38,Standard,5,5,0,497,0
ORD39,Express,2,2,0,731,0
ORD40,Express,2,2,0,1408,0
ORD41,Standard,5,5,0,453,0
ORD42,Standard,5,5,0,1875,1
ORD43,Standard,5,6,1,1462,0
ORD44,Express,2,2,0,1753,1
ORD45,Standard,5,5,0,1476,0
ORD46,Express,2,2,0,1476,0
ORD47,Express,2,2,0,1356,0
ORD48,Express,2,2,0,497,0
ORD49,Standard,5,7,2,2163,1
ORD50,Express,2,3,1,1942,1
ORD51,Express,2,3,1,1670,1
ORD52,Express,2,3,1,1642,1
ORD53,Standard,5,6,1,2249,1
ORD54,Express,2,2,0,2211,1
ORD55,Express,2,2,0,1657,1
ORD56,Express,2,2,0,756,0
ORD57,Standard,5,5,0,598,0
ORD58,Standard,5,5,0,799,0
ORD59,Express,2,6,4,1763,1
ORD60,Standard,5,6,1,2043,1
ORD61,Standard,5,5,0,2322,1
ORD62,Standard,5,6,1,1520,1
ORD63,Standard,5,7,2,1622,1
ORD64,Express,2,2,0,1725,1
ORD65,Express,2,3,1,2051,1
ORD66,Standard,5,5,0,1175,0
ORD67,Express,2,2,0,2366,1
ORD68,Standard,5,5,0,2395,1
ORD69,Standard,5,7,2,1857,1
ORD70,Standard,5,5,0,1269,0
ORD71,Express,2,3,1,1477,0
ORD72,Standard,5,5,0,1020,0
ORD73,Express,2,2,0,1803,1
ORD74,Standard,5,6,1,293,0
ORD75,Standard,5,5,0,1375,0
ORD76,Express,2,5,3,2157,1
ORD77,Standard,5,5,0,1735,1
ORD78,Standard,5,5,0,593,0
ORD79,Standard,5,5,0,1658,1
ORD80,Express,2,3,1,1746,1
ORD81,Standard,5,5,0,1700,1
ORD82,Express,2,2,0,1912,1
ORD83,Standard,5,5,0,431,0
ORD84,Express,2,2,0,309,0
ORD85,Express,2,2,0,917,0
ORD86,Standard,5,5,0,2368,1
ORD87,Standard,5,6,1,238,0
ORD88,Standard,5,6,1,1857,1
ORD89,Standard,5,5,0,1286,0
ORD90,Express,2,2,0,1075,0
ORD91,Standard,5,5,0,262,0
ORD92,Standard,5,5,0,1808,1
ORD93,Standard,5,5,0,924,0
ORD94,Standard,5,8,3,2177,1
ORD95,Express,2,2,0,543,0
ORD96,Standard,5,5,0,2006,1
ORD97,Express,2,2,0,1555,1
ORD98,Standard,5,6,1,635,0
ORD99,Express,2,2,0,1488,0
ORD100,Standard,5,6,1,1736,1
ORD101,Standard,5,6,1,461,0
ORD102,Express,2,2,0,1338,0
ORD103,Standard,5,5,0,1066,0
ORD104,Express,2,2,0,159,0
ORD105,Standard,5,5,0,2170,1
ORD106,Express,2,3,1,1260,0
ORD107,Express,2,2,0,511,0
ORD108,Standard,5,5,0,2213,1
ORD109,Express,2,2,0,590,0
ORD110,Standard,5,6,1,1979,1
ORD111,Standard,5,5,0,106,0
ORD112,Express,2,2,0,2125,1
ORD113,Express,2,2,0,387,0
ORD114,Standard,5,6,1,1186,0
ORD115,Standard,5,5,0,686,0
ORD116,Standard,5,5,0,1320,0
ORD117,Standard,5,6,1,403,0
ORD118,Standard,5,6,1,1316,0
ORD119,Standard,5,5,0,539,0
ORD120,Standard,5,5,0,2083,1
ORD121,Express,2,3,1,733,0
ORD122,Standard,5,8,3,170,0
ORD123,Standard,5,5,0,1127,0
ORD124,Standard,5,7,2,2082,1
ORD125,Express,2,2,0,2371,1
ORD126,Standard,5,5,0,985,0
ORD127,Standard,5,5,0,1051,0
ORD128,Express,2,2,0,969,0
ORD129,Express,2,2,0,1161,0
ORD130,Standard,5,5,0,2106,1
ORD131,Standard,5,5,0,2162,1
ORD132,Express,2,2,0,1206,0
ORD133,Standard,5,6,1,2315,1
ORD134,Express,2,2,0,2359,1
ORD135,Express,2,3,1,1558,1
ORD136,Standard,5,6,1,666,0
ORD137,Standard,5,5,0,1422,0
ORD138,Standard,5,7,2,2220,1
ORD139,Standard,5,5,0,633,0
ORD140,Standard,5,5,0,2178,1
ORD141,Standard,5,5,0,2120,1
ORD142,Standard,5,5,0,1831,1
ORD143,Express,2,4,2,1119,0
ORD144,Express,2,2,0,1352,0
ORD145,Standard,5,6,1,686,0
ORD146,Express,2,2,0,900,0
ORD147,Standard,5,5,0,420,0
ORD148,Standard,5,5,0,930,0
ORD149,Standard,5,6,1,1066,0
ORD150,Standard,5,5,0,1274,0
ORD151,Express,2,2,0,1902,1
ORD152,Standard,5,5,0,547,0
ORD153,Express,2,3,1,1574,1
ORD154,Express,2,2,0,357,0
ORD155,Express,2,3,1,577,0
ORD156,Standard,5,7,2,1938,1
ORD157,Standard,5,5,0,1617,1
ORD158,Standard,5,6,1,816,0
ORD159,Standard,5,5,0,1258,0
ORD160,Standard,5,6,1,409,0
ORD161,Standard,5,6,1,2203,1
ORD162,Express,2,3,1,2014,1
ORD163,Express,2,3,1,1640,1
ORD164,Express,2,2,0,289,0
ORD165,Express,2,2,0,2442,1
ORD166,Standard,5,5,0,1037,0
ORD167,Express,2,4,2,1503,1
ORD168,Standard,5,5,0,2476,1
ORD169,Express,2,4,2,2375,1
ORD170,Express,2,2,0,769,0
ORD171,Standard,5,6,1,946,0
ORD172,Standard,5,5,0,584,0
ORD173,Standard,5,7,2,139,0
ORD174,Express,2,3,1,347,0
ORD175,Standard,5,5,0,1428,0
ORD176,Express,2,2,0,2045,1
ORD177,Express,2,2,0,964,0
ORD178,Express,2,2,0,1256,0
ORD179,Express,2,3,1,2374,1
ORD180,Standard,5,8,3,2082,1
ORD181,Express,2,2,0,1358,0
ORD182,Express,2,3,1,1879,1
ORD183,Express,2,2,0,492,0
ORD184,Express,2,2,0,1768,1
ORD185,Express,2,3,1,1488,0
ORD186,Standard,5,5,0,716,0
ORD187,Standard,5,5,0,1355,0
ORD188,Express,2,2,0,746,0
ORD189,Standard,5,6,1,2290,1
ORD190,Express,2,2,0,176,0
ORD191,Express,2,3,1,693,0
ORD192,Express,2,2,0,2319,1
ORD193,Express,2,2,0,1022,0
ORD194,Standard,5,6,1,1527,1
ORD195,Express,2,2,0,867,0
ORD196,Express,2,2,0,385,0
