order_id,is_returned,return_reason,return_days_after_delivery
O1,1,WRONG_ITEM,5
O2,1,NOT_AS_DESCRIBED,2
O3,1,DAMAGED_IN_TRANSIT,3
O4,0,NONE,0
O5,0,NONE,0
O6,0,NONE,0
O7,1,SIZE_FIT_ISSUE,7
O8,1,DAMAGED_IN_TRANSIT,5
O9,0,NONE,0
O10,0,NONE,0
O11,1,SIZE_FIT_ISSUE,1
O12,0,NONE,0
O13,0,NONE,0
O14,1,SIZE_FIT_ISSUE,4
O15,0,NONE,0
O16,0,NONE,0
O17,1,SIZE_FIT_ISSUE,7
O18,0,NONE,0
O19,1,DELIVERY_DELAY,1
O20,0,NONE,0
O21,0,NONE,0
O22,1,SIZE_FIT_ISSUE,1
O23,0,NONE,0
O24,0,NONE,0
O25,0,NONE,0
O26,1,WRONG_ITEM,6
O27,0,NONE,0
O28,1,SIZE_FIT_ISSUE,1
O29,0,NONE,0
O30,0,NONE,0
O31,0,NONE,0
O32,0,NONE,0
O33,0,NONE,0
O34,1,NO_LONGER_NEEDED,6
O35,1,NO_LONGER_NEEDED,10
O36,0,NONE,0
O37,1,SIZE_FIT_ISSUE,5
O38,1,SIZE_FIT_ISSUE,6
O39,0,NONE,0
O40,1,SIZE_FIT_ISSUE,5
O41,1,DAMAGED_IN_TRANSIT,3
O42,1,DAMAGED_IN_TRANSIT,10
O43,0,NONE,0
O44,1,NO_LONGER_NEEDED,10
O45,0,NONE,0
O46,0,NONE,0
O47,0,NONE,0
O48,0,NONE,0
O49,0,NONE,0
O50,0,NONE,0
O51,0,NONE,0
O52,0,NONE,0
O53,0,NONE,0
O54,0,NONE,0
O55,0,NONE,0
O56,1,QUALITY_DEFECT,2
O57,1,DAMAGED_IN_TRANSIT,8
O58,0,NONE,0
O59,0,NONE,0
O60,1,QUALITY_DEFECT,3
O61,1,SIZE_FIT_ISSUE,6
O62,1,WRONG_ITEM,2
O63,0,NONE,0
O64,0,NONE,0
O65,1,NOT_AS_DESCRIBED,9
O66,1,WRONG_ITEM,1
O67,0,NONE,0
O68,1,SIZE_FIT_ISSUE,6
O69,0,NONE,0
O70,1,SIZE_FIT_ISSUE,7
O71,0,NONE,0
O72,1,SIZE_FIT_ISSUE,2
O73,0,NONE,0
O74,0,NONE,0
O75,1,SIZE_FIT_ISSUE,3
O76,1,SIZE_FIT_ISSUE,4
O77,1,QUALITY_DEFECT,8
O78,0,NONE,0
O79,0,NONE,0
O80,0,NONE,0
O81,1,WRONG_ITEM,1
O82,0,NONE,0
O83,0,NONE,0
O84,1,NO_LONGER_NEEDED,10
O85,0,NONE,0
O86,0,NONE,0
O87,0,NONE,0
O88,0,NONE,0
O89,1,QUALITY_DEFECT,6
O90,1,WRONG_ITEM,7
O91,1,DAMAGED_IN_TRANSIT,7
O92,1,SIZE_FIT_ISSUE,1
O93,0,NONE,0
O94,1,SIZE_FIT_ISSUE,10
O95,0,NONE,0
O96,0,NONE,0
O97,1,DELIVERY_DELAY,3
O98,0,NONE,0
O99,0,NONE,0
O100,1,NO_LONGER_NEEDED,10
O101,0,NONE,0
O102,1,QUALITY_DEFECT,10
O103,0,NONE,0
O104,1,DELIVERY_DELAY,1
O105,0,NONE,0
O106,0,NONE,0
O107,1,NOT_AS_DESCRIBED,4
O108,0,NONE,0
O109,0,NONE,0
O110,0,NONE,0
O111,1,NO_LONGER_NEEDED,8
O112,0,NONE,0
O113,1,WRONG_ITEM,3
O114,1,SIZE_FIT_ISSUE,1
O115,0,NONE,0
O116,0,NONE,0
O117,0,NONE,0
O118,1,SIZE_FIT_ISSUE,3
O119,0,NONE,0
O120,0,NONE,0
O121,1,SIZE_FIT_ISSUE,4
O122,1,DAMAGED_IN_TRANSIT,1
O123,0,NONE,0
O124,1,QUALITY_DEFECT,7
O125,0,NONE,0
O126,0,NONE,0
O127,0,NONE,0
O128,1,QUALITY_DEFECT,9
O129,0,NONE,0
O130,0,NONE,0
O131,1,QUALITY_DEFECT,8
O132,1,NOT_AS_DESCRIBED,2
O133,1,SIZE_FIT_ISSUE,6
O134,0,NONE,0
O135,1,WRONG_ITEM,5
O136,0,NONE,0
O137,1,SIZE_FIT_ISSUE,10
O138,1,SIZE_FIT_ISSUE,5
O139,0,NONE,0
O140,1,DAMAGED_IN_TRANSIT,7
O141,1,SIZE_FIT_ISSUE,6
O142,1,WRONG_ITEM,3
O143,1,NO_LONGER_NEEDED,6
O144,0,NONE,0
O145,1,SIZE_FIT_ISSUE,9
O146,0,NONE,0
O147,0,NONE,0
O148,0,NONE,0
O149,1,SIZE_FIT_ISSUE,9
O150,0,NONE,0
O151,0,NONE,0
O152,1,SIZE_FIT_ISSUE,6
O153,0,NONE,0
O154,1,WRONG_ITEM,8
O155,1,DELIVERY_DELAY,5
O156,0,NONE,0
O157,1,NO_LONGER_NEEDED,10
O158,1,NOT_AS_DESCRIBED,4
O159,1,SIZE_FIT_ISSUE,3
O160,0,NONE,0
O161,0,NONE,0
O162,1,DELIVERY_DELAY,10
O163,1,NO_LONGER_NEEDED,8
O164,0,NONE,0
O165,0,NONE,0
O166,0,NONE,0
O167,1,NOT_AS_DESCRIBED,9
O168,1,QUALITY_DEFECT,6
O169,0,NONE,0
O170,0,NONE,0
O171,0,NONE,0
O172,0,NONE,0
O173,0,NONE,0
O174,0,NONE,0
O175,0,NONE,0
O176,0,NONE,0
O177,1,DAMAGED_IN_TRANSIT,3
O178,1,DAMAGED_IN_TRANSIT,5
O179,0,NONE,0
O180,0,NONE,0
O181,1,DELIVERY_DELAY,9
O182,0,NONE,0
O183,0,NONE,0
O184,1,QUALITY_DEFECT,1
O185,0,NONE,0
O186,1,SIZE_FIT_ISSUE,7
O187,0,NONE,0
O188,0,NONE,0
O189,0,NONE,0
O190,0,NONE,0
O191,1,SIZE_FIT_ISSUE,10
O192,0,NONE,0
O193,0,NONE,0
O194,0,NONE,0
O195,1,DAMAGED_IN_TRANSIT,2
O196,1,QUALITY_DEFECT,6
O197,1,SIZE_FIT_ISSUE,2
O198,0,NONE,0
O199,0,NONE,0
O200,0,NONE,0
O201,1,SIZE_FIT_ISSUE,7
O202,1,SIZE_FIT_ISSUE,7
O203,0,NONE,0
O204,1,NO_LONGER_NEEDED,2
O205,0,NONE,0
O206,0,NONE,0
O207,1,SIZE_FIT_ISSUE,2
O208,0,NONE,0
O209,1,DAMAGED_IN_TRANSIT,9
O210,0,NONE,0
O211,1,QUALITY_DEFECT,9
O212,1,NO_LONGER_NEEDED,7
O213,0,NONE,0
O214,1,NO_LONGER_NEEDED,10
O215,1,NOT_AS_DESCRIBED,3
O216,0,NONE,0
O217,1,SIZE_FIT_ISSUE,7
O218,0,NONE,0
O219,1,SIZE_FIT_ISSUE,1
O220,1,WRONG_ITEM,9
O221,0,NONE,0
O222,0,NONE,0
O223,0,NONE,0
O224,1,NO_LONGER_NEEDED,10
O225,1,NOT_AS_DESCRIBED,4
O226,1,NO_LONGER_NEEDED,10
O227,0,NONE,0
O228,1,WRONG_ITEM,2
O229,1,SIZE_FIT_ISSUE,7
O230,0,NONE,0
O231,0,NONE,0
O232,0,NONE,0
O233,0,NONE,0
O234,1,NOT_AS_DESCRIBED,4
O235,0,NONE,0
O236,0,NONE,0
O237,1,DAMAGED_IN_TRANSIT,6
O238,0,NONE,0
O239,0,NONE,0
O240,0,NONE,0
O241,0,NONE,0
O242,0,NONE,0
O243,0,NONE,0
O244,0,NONE,0
O245,0,NONE,0
O246,1,QUALITY_DEFECT,5
O247,0,NONE,0
O248,0,NONE,0
O249,0,NONE,0
O250,1,DAMAGED_IN_TRANSIT,7
O251,1,DAMAGED_IN_TRANSIT,8
O252,1,WRONG_ITEM,1
O253,1,QUALITY_DEFECT,9
O254,1,NOT_AS_DESCRIBED,10
