order_id,order_date,customer_id,product_id,product_category,product_price,quantity,order_value,discount_percentage,discount_amount,customer_city,warehouse_city,distance_km,is_remote_area,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,is_returned,return_reason,total_orders,past_return_rate,avg_order_value,review_rating,review_text,review_date,base_return_tendency,home_city,defect_rate
1,2024-01-21,233,P052,Electronics,1641,1,1641,0,0.0,Kolkata,Kolkata,129,0,Standard,4,5,1,0,NO_RETURN,2,0.0,2428.0,5.0,Amazing device! The battery life is incredible and it performs flawlessly. Highly recommend for anyone looking for quality.,2024-02-09,0.20657758693050257,Kolkata,0.0356
2,2024-10-16,232,P021,Home,1289,1,1289,0,0.0,Bangalore,Hyderabad,557,0,Standard,4,4,0,0,NO_RETURN,13,0.4167,2660.5,4.0,This item works well. Good quality but not exceptional. Would buy again.,2024-10-26,0.20756920804449747,Bangalore,0.005
3,2024-11-07,87,P008,Home,1276,1,1276,0,0.0,Kolkata,Kolkata,30,0,Standard,6,6,0,0,NO_RETURN,17,0.375,1746.88,,,,0.22091635720041336,Kolkata,0.0089
4,2024-11-13,211,P007,Electronics,5346,1,5346,0,0.0,Chennai,Bangalore,330,0,Standard,7,7,0,0,NO_RETURN,16,0.2667,2139.47,5.0,Amazing device! The battery life is incredible and it performs flawlessly. Highly recommend for anyone looking for quality.,2024-11-26,0.03454361856672944,Chennai,0.005
5,2024-06-17,49,P036,Electronics,2759,1,2759,25,689.75,Hyderabad,Hyderabad,19,0,Express,4,7,3,0,NO_RETURN,5,0.25,3023.25,4.0,"Reliable device. Good performance, though not exceptional. Worth the price.",2024-07-06,0.18841806299655586,Hyderabad,0.018
6,2024-11-22,288,P032,Beauty,254,1,254,15,38.1,Mumbai,Hyderabad,545,0,Standard,5,5,0,1,SIZE_FIT_ISSUE,18,0.2941,1877.94,1.0,Horrible product! Causes severe irritation. Dangerous and ineffective.,2024-12-04,0.1449928528489559,Mumbai,0.0325
7,2024-05-01,288,P051,Home,856,2,1712,25,428.0,Mumbai,Mumbai,27,0,Express,3,3,0,0,NO_RETURN,3,0.0,970.5,4.0,"Reliable item. Good construction, though packaging could be better. Recommend.",2024-05-20,0.1449928528489559,Mumbai,0.0155
8,2024-11-12,238,P007,Electronics,5349,1,5349,20,1069.8,Delhi,Hyderabad,1105,0,Express,4,8,4,1,DELIVERY_DELAY,17,0.625,1740.25,,,,0.4,Delhi,0.005
9,2024-12-18,44,P077,Beauty,300,1,300,15,45.0,Mumbai,Bangalore,891,0,Express,4,5,1,0,NO_RETURN,20,0.2632,1185.37,,,,0.17284202692108214,Mumbai,0.0238
10,2024-04-13,72,P001,Electronics,1565,2,3130,15,469.5,Ahmedabad,Hyderabad,828,0,Express,3,3,0,1,QUALITY_DEFECT,5,0.25,1397.75,,,,0.2403624394455053,Ahmedabad,0.005
11,2024-08-21,13,P009,Beauty,1017,1,1017,20,203.4,Bangalore,Hyderabad,454,0,Express,2,2,0,0,NO_RETURN,9,0.375,1765.75,3.0,This product is alright. Works but not as advertised. Arrived quickly.,2024-09-07,0.17637932113312224,Bangalore,0.024
12,2024-05-11,211,P058,Electronics,1019,2,2038,15,305.7,Chennai,Hyderabad,497,0,Standard,7,7,0,1,SIZE_FIT_ISSUE,8,0.1429,2989.43,,,,0.03454361856672944,Chennai,0.005
13,2024-10-18,188,P057,Clothing,757,1,757,15,113.55,Hyderabad,Kolkata,1201,1,Express,3,3,0,1,QUALITY_DEFECT,10,0.3333,1369.0,,,,0.2718770274997902,Hyderabad,0.005
14,2024-07-29,188,P060,Clothing,881,1,881,20,176.2,Hyderabad,Bangalore,529,0,Express,4,4,0,1,SIZE_FIT_ISSUE,7,0.3333,1244.67,1.0,"One wash and this garment fits my cat instead of me. Excellent quality control, guys.",2024-08-14,0.2718770274997902,Hyderabad,0.0212
15,2024-04-27,116,P047,Beauty,567,1,567,15,85.05,Chennai,Bangalore,314,0,Standard,5,10,5,0,NO_RETURN,7,0.1667,1987.5,,,,0.037529611254818955,Chennai,0.0572
16,2024-10-05,137,P016,Home,768,1,768,25,192.0,Kolkata,Kolkata,90,0,Express,4,7,3,1,DELIVERY_DELAY,16,0.3333,1638.47,3.0,Mediocre item. Decent for price but not durable. Packaging damaged.,2024-10-23,0.24810339672323026,Kolkata,0.005
17,2024-03-14,69,P064,Electronics,1817,2,3634,15,545.1,Ahmedabad,Kolkata,1398,1,Express,4,4,0,1,NO_LONGER_NEEDED,4,0.3333,1236.67,,,,0.08651659930802,Ahmedabad,0.0356
18,2024-02-05,188,P057,Clothing,710,1,710,0,0.0,Hyderabad,Hyderabad,95,0,Standard,6,6,0,0,NO_RETURN,1,0.0,710.0,4.0,"This garment is okay. Comfortable wear but not the best quality. Still, good value.",2024-02-12,0.2718770274997902,Hyderabad,0.005
19,2024-11-11,182,P077,Beauty,295,1,295,20,59.0,Hyderabad,Hyderabad,79,0,Express,3,3,0,1,SIZE_FIT_ISSUE,22,0.7143,2099.43,,,,0.4,Hyderabad,0.0238
20,2024-05-21,199,P021,Home,1334,3,4002,0,0.0,Ahmedabad,Delhi,810,0,Standard,7,7,0,0,NO_RETURN,8,0.4286,4393.43,3.0,This item does the job. Average quality and arrived on time. Not exceptional.,2024-05-30,0.10545818852950568,Ahmedabad,0.005
21,2024-11-22,161,P050,Beauty,899,1,899,40,359.6,Pune,Kolkata,1444,1,Standard,6,6,0,0,NO_RETURN,21,0.5,1282.8,5.0,This product is a game-changer. High quality ingredients and visible results. Love it!,2024-12-10,0.09598407354742522,Pune,0.0492
22,2024-12-06,17,P070,Electronics,6882,2,13764,0,0.0,Ahmedabad,Delhi,681,0,Express,4,4,0,0,NO_RETURN,19,0.5,2402.06,4.0,Nice device! Functions properly and arrived on time. Minor complaints but overall satisfied.,2024-12-17,0.26055340597402743,Ahmedabad,0.0653
23,2024-10-28,59,P010,Electronics,1777,1,1777,0,0.0,Delhi,Bangalore,1561,1,Standard,5,8,3,1,NOT_AS_DESCRIBED,20,0.3684,1973.16,2.0,Bad device. Quality issues and arrived late. Very disappointed.,2024-11-06,0.03,Delhi,0.0301
24,2024-03-06,168,P058,Electronics,954,1,954,30,286.2,Pune,Hyderabad,510,0,Standard,5,5,0,1,NO_LONGER_NEEDED,3,0.5,2823.5,1.0,This device is junk. Malfunctions constantly. Horrible experience.,2024-03-14,0.4,Pune,0.005
25,2024-03-14,197,P051,Home,796,1,796,20,159.2,Bangalore,Bangalore,94,0,Standard,4,4,0,1,NOT_AS_DESCRIBED,5,0.75,4582.5,,,,0.32456285038877725,Bangalore,0.0155
26,2024-10-09,268,P002,Clothing,1158,3,3474,0,0.0,Bangalore,Bangalore,138,0,Standard,7,8,1,0,NO_RETURN,10,0.5556,2373.67,5.0,Perfect fit and amazing quality. The garment is worth the price. Fast shipping too!,2024-10-15,0.4,Bangalore,0.0089
27,2024-01-12,107,P004,Clothing,675,1,675,40,270.0,Chennai,Bangalore,288,0,Standard,5,5,0,1,QUALITY_DEFECT,2,0.0,742.0,2.0,Poor garment. Doesn't fit well and material is low quality. Disappointed.,2024-01-16,0.1281229506557087,Chennai,0.0283
28,2024-05-12,196,P025,Home,470,1,470,0,0.0,Chennai,Hyderabad,578,0,Standard,7,7,0,0,NO_RETURN,4,0.6667,649.33,,,,0.07864937856114189,Chennai,0.005
29,2024-10-03,213,P003,Clothing,1403,1,1403,20,280.6,Pune,Hyderabad,492,0,Express,4,4,0,0,NO_RETURN,8,0.8571,1649.0,,,,0.30924544939850634,Pune,0.0232
30,2024-12-15,150,P017,Home,3902,2,7804,0,0.0,Chennai,Kolkata,1428,1,Standard,7,7,0,0,NO_RETURN,12,0.5455,2691.64,,,,0.29161457624438253,Chennai,0.0055
31,2024-09-03,201,P020,Electronics,4683,2,9366,15,1404.9,Bangalore,Hyderabad,500,0,Standard,6,6,0,0,NO_RETURN,10,0.3333,1023.78,,,,0.043431025303605736,Bangalore,0.0149
32,2024-11-17,39,P009,Beauty,1031,2,2062,25,515.5,Mumbai,Bangalore,717,0,Standard,5,5,0,0,NO_RETURN,15,0.1429,2128.5,3.0,This product is alright. Works but not as advertised. Arrived quickly.,2024-11-23,0.15318743069607366,Mumbai,0.024
33,2024-10-07,35,P019,Electronics,3740,1,3740,30,1122.0,Mumbai,Bangalore,749,0,Express,3,5,2,0,NO_RETURN,15,0.2857,1942.93,,,,0.11463365684346738,Mumbai,0.0237
34,2024-07-24,201,P028,Electronics,1207,1,1207,25,301.75,Bangalore,Hyderabad,466,0,Express,3,3,0,0,NO_RETURN,8,0.2857,950.71,3.0,This device is okay. Decent features but battery life disappoints. Mixed feelings.,2024-07-27,0.043431025303605736,Bangalore,0.022
35,2024-11-03,227,P059,Beauty,661,2,1322,15,198.3,Hyderabad,Mumbai,638,0,Express,4,4,0,0,NO_RETURN,19,0.2222,1873.33,4.0,Nice product! Effective and arrived quickly. Minor issues with texture.,2024-11-19,0.050374096323396546,Hyderabad,0.017
36,2024-02-19,268,P035,Electronics,1005,2,2010,0,0.0,Bangalore,Bangalore,110,0,Express,2,2,0,0,NO_RETURN,1,0.0,2010.0,4.0,Solid device. Performs as expected with minor issues. Fast delivery and decent quality.,2024-02-25,0.4,Bangalore,0.023
37,2024-11-27,35,P065,Beauty,387,1,387,0,0.0,Mumbai,Kolkata,1573,1,Standard,5,7,2,0,NO_RETURN,22,0.2381,1922.38,4.0,"Decent product. Works okay and gentle on skin. Fast delivery, minor complaints.",2024-12-03,0.11463365684346738,Mumbai,0.005
38,2024-11-22,132,P055,Beauty,1670,1,1670,15,250.5,Hyderabad,Hyderabad,100,0,Express,2,2,0,1,DELIVERY_DELAY,21,0.3,1827.75,2.0,Subpar results. Expensive and doesn't work. Packaging was okay.,2024-11-24,0.13050410030290874,Hyderabad,0.0434
39,2024-04-02,262,P027,Electronics,931,2,1862,10,186.2,Chennai,Bangalore,285,0,Standard,4,4,0,1,DELIVERY_DELAY,4,0.3333,1605.0,,,,0.4,Chennai,0.0132
