feature,importance
return_reason_encoded,1.0
product_price,0.0
quantity,0.0
discount_percentage,0.0
order_value,0.0
distance_km,0.0
is_remote_area,0.0
expected_delivery_days,0.0
discount_amount,0.0
delivery_delay,0.0
total_orders,0.0
past_return_rate,0.0
avg_order_value,0.0
review_rating,0.0
base_return_tendency,0.0
defect_rate,0.0
actual_delivery_days,0.0
product_price_log,0.0
is_unrealistic_distance,0.0
order_hour,0.0
order_day_of_week,0.0
order_month,0.0
is_weekend,0.0
order_quarter,0.0
days_to_nearest_festival,0.0
is_festival_window,0.0
review_lag_days,0.0
cust_lifetime_orders,0.0
cust_lifetime_value,0.0
days_since_last_order,0.0
discount_depth_vs_return_history,0.0
cust_past_30_returns,0.0
has_review,0.0
cust_avg_rating,0.0
prod_category_return_rate,0.0
sentiment_polarity,0.0
is_high_risk_product,0.0
review_word_count,0.0
sarcasm_score,0.0
sentiment_rating_gap,0.0
sentiment_subjectivity,0.0
is_sarcastic,0.0
is_sarcastic_score_flag,0.0
spam_score,0.0
is_low_effort_review,0.0
is_likely_spam,0.0
product_category_encoded,0.0
shipping_mode_encoded,0.0
warehouse_city_encoded,0.0
customer_city_encoded,0.0
product_price_log_scaled,0.0
quantity_scaled,0.0
distance_km_scaled,0.0
actual_delivery_days_scaled,0.0
order_value_scaled,0.0
review_rating_scaled,0.0
sentiment_polarity_scaled,0.0
sentiment_subjectivity_scaled,0.0
review_word_count_scaled,0.0
review_lag_days_scaled,0.0
delivery_delay_scaled,0.0
expected_delivery_days_scaled,0.0
discount_percentage_scaled,0.0
discount_amount_scaled,0.0
feature_trust_score,0.0
